,Season,Week_No,Team,Name,Nationality,Age,Minutes,Venue,Opponent,Result,shots_on_target_against,goals_against_gk,saves,save_pct,psxg_gk,passes_completed_launched_gk,passes_launched_gk,passes_pct_launched_gk,passes_gk,passes_throws_gk,pct_passes_launched_gk,passes_length_avg_gk,goal_kicks,pct_goal_kicks_launched,goal_kick_length_avg,crosses_gk,crosses_stopped_gk,crosses_stopped_pct_gk,def_actions_outside_pen_area_gk,avg_distance_def_actions_gk
0,2022-2023,1,Eintracht Frankfurt,Kevin Trapp,GER,32,90.0,Home,Bayern Munich,Defeat,10.0,6.0,3.0,40.0,3.7,4.0,12.0,33.3,22.0,3.0,45.5,40.4,9.0,22.2,34.2,2.0,0.0,0.0,0.0,11.7
1,2022-2023,1,Bayern Munich,Manuel Neuer,GER,36,90.0,Away,Eintracht Frankfurt,Win,2.0,1.0,1.0,50.0,0.9,5.0,8.0,62.5,41.0,8.0,19.5,28.8,4.0,0.0,23.0,7.0,0.0,0.0,2.0,13.6
2,2022-2023,1,Augsburg,Rafał Gikiewicz,POL,34,90.0,Home,Freiburg,Defeat,6.0,4.0,2.0,33.3,1.8,10.0,24.0,41.7,42.0,6.0,42.9,37.0,7.0,85.7,59.3,6.0,0.0,0.0,0.0,15.0
3,2022-2023,1,Freiburg,Mark Flekken,NED,29,90.0,Away,Augsburg,Win,2.0,0.0,2.0,100.0,0.0,14.0,27.0,51.9,42.0,1.0,59.5,48.8,2.0,100.0,81.0,5.0,1.0,20.0,1.0,15.4
4,2022-2023,1,Mönchengladbach,Yann Sommer,SUI,33,90.0,Home,Hoffenheim,Win,1.0,1.0,0.0,0.0,0.2,5.0,10.0,50.0,29.0,2.0,27.6,30.9,2.0,100.0,56.5,5.0,1.0,20.0,1.0,20.0
5,2022-2023,1,Hoffenheim,Oliver Baumann,GER,32,90.0,Away,Mönchengladbach,Defeat,8.0,3.0,4.0,62.5,3.5,8.0,21.0,38.1,49.0,2.0,40.8,39.0,3.0,33.3,34.7,12.0,2.0,16.7,0.0,7.3
6,2022-2023,1,Bochum,Manuel Riemann,GER,33,90.0,Home,Mainz 05,Defeat,6.0,2.0,4.0,66.7,2.6,16.0,39.0,41.0,51.0,3.0,64.7,47.3,8.0,75.0,55.6,9.0,2.0,22.2,7.0,27.4
7,2022-2023,1,Mainz 05,Robin Zentner,GER,27,90.0,Away,Bochum,Win,3.0,1.0,2.0,66.7,0.2,5.0,18.0,27.8,19.0,8.0,52.6,50.9,9.0,88.9,68.7,10.0,1.0,10.0,2.0,11.0
8,2022-2023,1,Union Berlin,Frederik Rønnow,DEN,30,90.0,Home,Hertha BSC,Win,3.0,1.0,2.0,66.7,1.2,6.0,16.0,37.5,24.0,2.0,50.0,41.3,5.0,80.0,59.6,10.0,1.0,10.0,1.0,11.0
9,2022-2023,1,Hertha BSC,Oliver Christensen,DEN,23,90.0,Away,Union Berlin,Defeat,8.0,3.0,5.0,62.5,1.7,10.0,15.0,66.7,27.0,9.0,44.4,35.8,7.0,42.9,44.6,14.0,3.0,21.4,1.0,12.6
10,2022-2023,1,Wolfsburg,Koen Casteels,BEL,30,90.0,Home,Werder Bremen,Draw,5.0,2.0,3.0,60.0,1.3,6.0,14.0,42.9,29.0,10.0,41.4,34.9,4.0,50.0,46.8,8.0,0.0,0.0,2.0,17.3
11,2022-2023,1,Werder Bremen,Jiří Pavlenka,CZE,30,90.0,Away,Wolfsburg,Draw,3.0,2.0,1.0,33.3,1.0,8.0,25.0,32.0,24.0,3.0,66.7,49.4,11.0,81.8,65.9,7.0,1.0,14.3,0.0,11.3
12,2022-2023,1,Dortmund,Gregor Kobel,SUI,24,90.0,Home,Bayer Leverkusen,Win,3.0,0.0,3.0,100.0,0.5,5.0,16.0,31.3,31.0,5.0,35.5,37.1,7.0,71.4,55.7,11.0,1.0,9.1,0.0,11.5
13,2022-2023,1,Bayer Leverkusen,Lukáš Hrádecký,FIN,32,89.0,Away,Dortmund,Defeat,4.0,1.0,3.0,75.0,1.9,7.0,15.0,46.7,34.0,8.0,38.2,32.8,10.0,20.0,29.6,4.0,0.0,0.0,0.0,10.0
14,2022-2023,1,Stuttgart,Florian Müller,GER,24,90.0,Home,RB Leipzig,Draw,9.0,1.0,8.0,88.9,1.8,10.0,21.0,47.6,28.0,3.0,46.4,34.2,10.0,80.0,57.7,11.0,0.0,0.0,1.0,15.0
15,2022-2023,1,RB Leipzig,Péter Gulácsi,HUN,32,90.0,Away,Stuttgart,Draw,2.0,1.0,1.0,50.0,0.4,3.0,6.0,50.0,30.0,5.0,16.7,28.9,7.0,14.3,26.4,1.0,0.0,0.0,0.0,14.4
16,2022-2023,1,Köln,Marvin Schwäbe,GER,27,90.0,Home,Schalke 04,Win,2.0,1.0,1.0,50.0,0.5,2.0,5.0,40.0,41.0,2.0,12.2,25.9,2.0,0.0,30.5,5.0,0.0,0.0,2.0,22.2
17,2022-2023,1,Schalke 04,Alexander Schwolow,GER,30,90.0,Away,Köln,Defeat,9.0,3.0,6.0,66.7,2.3,11.0,27.0,40.7,18.0,1.0,88.9,65.6,12.0,91.7,68.1,21.0,1.0,4.8,0.0,10.6
18,2022-2023,2,Freiburg,Mark Flekken,NED,29,90.0,Home,Dortmund,Defeat,6.0,3.0,3.0,50.0,1.7,10.0,22.0,45.5,31.0,3.0,48.4,45.8,10.0,70.0,64.5,8.0,0.0,0.0,2.0,14.0
19,2022-2023,2,Dortmund,Gregor Kobel,SUI,24,90.0,Away,Freiburg,Win,7.0,1.0,6.0,85.7,0.9,0.0,7.0,0.0,44.0,7.0,13.6,29.1,6.0,16.7,28.5,11.0,0.0,0.0,2.0,16.2
20,2022-2023,2,Hoffenheim,Oliver Baumann,GER,32,90.0,Home,Bochum,Win,5.0,2.0,3.0,60.0,2.6,2.0,7.0,28.6,26.0,4.0,23.1,32.3,10.0,10.0,20.9,8.0,0.0,0.0,1.0,15.6
21,2022-2023,2,Bochum,Manuel Riemann,GER,33,90.0,Away,Hoffenheim,Defeat,11.0,3.0,8.0,72.7,2.8,24.0,46.0,52.2,49.0,1.0,81.6,56.4,7.0,85.7,68.1,9.0,2.0,22.2,3.0,19.5
22,2022-2023,2,Werder Bremen,Jiří Pavlenka,CZE,30,90.0,Home,Stuttgart,Draw,6.0,2.0,4.0,66.7,1.5,5.0,19.0,26.3,36.0,6.0,36.1,34.6,9.0,66.7,48.9,8.0,0.0,0.0,2.0,16.7
23,2022-2023,2,Stuttgart,Florian Müller,GER,24,90.0,Away,Werder Bremen,Draw,3.0,2.0,1.0,33.3,1.0,4.0,13.0,30.8,27.0,6.0,33.3,33.1,8.0,50.0,40.6,14.0,0.0,0.0,1.0,11.1
24,2022-2023,2,Bayer Leverkusen,Andrey Lunyov,RUS,30,90.0,Home,Augsburg,Defeat,4.0,2.0,2.0,50.0,0.6,6.0,12.0,50.0,41.0,7.0,29.3,33.0,3.0,0.0,23.3,2.0,1.0,50.0,1.0,17.0
25,2022-2023,2,Augsburg,Rafał Gikiewicz,POL,34,90.0,Away,Bayer Leverkusen,Win,10.0,1.0,9.0,90.0,3.0,19.0,38.0,50.0,27.0,1.0,85.2,55.6,16.0,93.8,73.3,17.0,0.0,0.0,0.0,12.7
26,2022-2023,2,Hertha BSC,Oliver Christensen,DEN,23,90.0,Home,Eintracht Frankfurt,Draw,1.0,1.0,0.0,0.0,1.0,12.0,21.0,57.1,24.0,4.0,54.2,41.2,13.0,61.5,55.6,15.0,0.0,0.0,0.0,13.3
27,2022-2023,2,Eintracht Frankfurt,Kevin Trapp,GER,32,90.0,Away,Hertha BSC,Draw,5.0,1.0,4.0,80.0,0.6,4.0,14.0,28.6,19.0,7.0,42.1,36.2,8.0,75.0,49.8,4.0,0.0,0.0,0.0,19.7
28,2022-2023,2,RB Leipzig,Péter Gulácsi,HUN,32,90.0,Home,Köln,Draw,4.0,2.0,3.0,50.0,1.4,7.0,13.0,53.8,33.0,5.0,21.2,33.8,11.0,54.5,47.8,13.0,1.0,7.7,0.0,16.3
29,2022-2023,2,Köln,Marvin Schwäbe,GER,27,90.0,Away,RB Leipzig,Draw,4.0,2.0,2.0,50.0,0.9,4.0,8.0,50.0,21.0,3.0,28.6,35.3,7.0,28.6,34.4,5.0,0.0,0.0,0.0,10.0
30,2022-2023,2,Schalke 04,Alexander Schwolow,GER,30,90.0,Home,Mönchengladbach,Draw,8.0,2.0,6.0,75.0,1.3,6.0,19.0,31.6,26.0,3.0,57.7,46.9,4.0,100.0,78.8,5.0,0.0,0.0,0.0,16.8
31,2022-2023,2,Mönchengladbach,Yann Sommer,SUI,33,90.0,Away,Schalke 04,Draw,4.0,2.0,3.0,75.0,1.5,4.0,15.0,26.7,48.0,7.0,29.2,33.5,7.0,14.3,32.4,14.0,3.0,21.4,1.0,19.0
32,2022-2023,2,Mainz 05,Robin Zentner,GER,27,90.0,Home,Union Berlin,Draw,2.0,0.0,2.0,100.0,0.1,5.0,15.0,33.3,21.0,8.0,33.3,35.0,9.0,88.9,68.7,5.0,0.0,0.0,0.0,10.5
33,2022-2023,2,Union Berlin,Frederik Rønnow,DEN,30,90.0,Away,Mainz 05,Draw,5.0,0.0,5.0,100.0,0.2,7.0,20.0,35.0,44.0,9.0,29.5,36.2,8.0,87.5,65.4,5.0,2.0,40.0,2.0,14.7
34,2022-2023,2,Bayern Munich,Manuel Neuer,GER,36,90.0,Home,Wolfsburg,Win,2.0,0.0,2.0,100.0,0.5,13.0,20.0,65.0,49.0,7.0,40.8,33.6,6.0,0.0,28.3,4.0,0.0,0.0,1.0,18.7
35,2022-2023,2,Bayern Munich,Sven Ulreich,GER,34,1.0,Home,Wolfsburg,Win,8.0,2.0,6.0,75.0,2.2,17.0,27.0,63.0,31.0,3.0,71.0,53.3,7.0,71.4,59.4,7.0,0.0,0.0,1.0,13.9
